Bottom IQR,Top IQR,MSE,R2
0.01,0.01,58.19140582757676,0.783730149833047
0.01,0.05,28.905476008662394,0.8536122634075287
0.01,0.1,16.376037677969375,0.8184451603718634
0.01,0.15,11.119681456749753,0.8031518078195085
0.01,0.2,5.450918109230011,0.8257092159597169
0.05,0.01,58.19140582757676,0.783730149833047
0.05,0.05,27.464183277729408,0.862111451547545
0.05,0.1,15.481320142869741,0.820736713561059
0.05,0.15,8.371899481959689,0.8326566803845405
0.05,0.2,4.833433429019799,0.8350533424323839
0.1,0.01,58.19140582757676,0.783730149833047
0.1,0.05,24.620661503247746,0.8737558893001472
0.1,0.1,15.260421053712701,0.8172489796987814
0.1,0.15,8.323361391092158,0.8410710396180874
0.1,0.2,4.931238101525294,0.8203835521252814
0.15,0.01,58.19140582757676,0.783730149833047
0.15,0.05,26.40592733273919,0.8582410698764349
0.15,0.1,13.830276441371808,0.8417074662706354
0.15,0.15,8.344145440923164,0.8341597029894716
0.15,0.2,4.479949891064868,0.8282103288617442
0.2,0.01,58.19140582757676,0.783730149833047
0.2,0.05,33.49312620388776,0.8277089068296221
0.2,0.1,13.15201459288343,0.8382170146955035
0.2,0.15,7.58516447613471,0.8262261624869762
0.2,0.2,3.177404716758432,0.8636296686703889
